分数,位次区间,同分人数,建议位次
698,1-24,8,24
697,25-29,5,29
696,30-36,7,36
695,37-41,5,41
694,42-43,2,43
693,44-53,10,53
692,54-58,5,58
691,59-70,12,70
690,71-87,17,87
689,88-104,17,104
688,105-115,11,115
687,116-135,20,135
686,136-150,15,150
685,151-163,13,163
684,164-184,21,184
683,185-206,22,206
682,207-218,12,218
681,219-237,19,237
680,238-261,24,261
679,262-296,35,296
678,297-330,34,330
677,331-363,33,363
676,364-391,28,391
675,392-418,27,418
674,419-442,24,442
673,443-482,40,482
672,483-517,35,517
671,518-558,41,558
670,559-602,44,602
669,603-639,37,639
668,640-683,44,683
667,684-731,48,731
666,732-783,52,783
665,784-823,40,823
664,824-859,36,859
663,860-914,55,914
662,915-969,55,969
661,970-1014,45,1014
660,1015-1070,56,1070
659,1071-1126,56,1126
658,1127-1180,54,1180
657,1181-1238,58,1238
656,1239-1294,56,1294
655,1295-1347,53,1347
654,1348-1395,48,1395
653,1396-1441,46,1441
652,1442-1496,55,1496
651,1497-1552,56,1552
650,1553-1619,67,1619
649,1620-1685,66,1685
648,1686-1751,66,1751
647,1752-1821,70,1821
646,1822-1902,81,1902
645,1903-1990,88,1990
644,1991-2080,90,2080
643,2081-2144,64,2144
642,2145-2209,65,2209
641,2210-2285,76,2285
640,2286-2359,74,2359
639,2360-2442,83,2442
638,2443-2520,78,2520
637,2521-2600,80,2600
636,2601-2676,76,2676
635,2677-2771,95,2771
634,2772-2845,74,2845
633,2846-2952,107,2952
632,2953-3029,77,3029
631,3030-3113,84,3113
630,3114-3200,87,3200
629,3201-3266,66,3266
628,3267-3359,93,3359
627,3360-3447,88,3447
626,3448-3529,82,3529
625,3530-3624,95,3624
624,3625-3704,80,3704
623,3705-3803,99,3803
622,3804-3893,90,3893
621,3894-3975,82,3975
620,3976-4067,92,4067
619,4068-4163,96,4163
618,4164-4252,89,4252
617,4253-4349,97,4349
616,4350-4432,83,4432
615,4433-4532,100,4532
614,4533-4647,115,4647
613,4648-4739,92,4739
612,4740-4811,72,4811
611,4812-4914,103,4914
610,4915-5031,117,5031
609,5032-5148,117,5148
608,5149-5259,111,5259
607,5260-5359,100,5359
606,5360-5447,88,5447
605,5448-5549,102,5549
604,5550-5672,123,5672
603,5673-5771,99,5771
602,5772-5877,106,5877
601,5878-5991,114,5991
600,5992-6086,95,6086
599,6087-6178,92,6178
598,6179-6291,113,6291
597,6292-6425,134,6425
596,6426-6537,112,6537
595,6538-6649,112,6649
594,6650-6775,126,6775
593,6776-6896,121,6896
592,6897-7005,109,7005
591,7006-7120,115,7120
590,7121-7210,90,7210
589,7211-7334,124,7334
588,7335-7467,133,7467
587,7468-7594,127,7594
586,7595-7697,103,7697
585,7698-7816,119,7816
584,7817-7944,128,7944
583,7945-8065,121,8065
582,8066-8179,114,8179
581,8180-8301,122,8301
580,8302-8420,119,8420
579,8421-8531,111,8531
578,8532-8652,121,8652
577,8653-8778,126,8778
576,8779-8904,126,8904
575,8905-9016,112,9016
574,9017-9123,107,9123
573,9124-9231,108,9231
572,9232-9350,119,9350
571,9351-9476,126,9476
570,9477-9602,126,9602
569,9603-9735,133,9735
568,9736-9860,125,9860
567,9861-9981,121,9981
566,9982-10137,156,10137
565,10138-10265,128,10265
564,10266-10374,109,10374
563,10375-10500,126,10500
562,10501-10618,118,10618
561,10619-10752,134,10752
560,10753-10885,133,10885
559,10886-11028,143,11028
558,11029-11161,133,11161
557,11162-11272,111,11272
556,11273-11406,134,11406
555,11407-11531,125,11531
554,11532-11650,119,11650
553,11651-11780,130,11780
