分数,位次区间,同分人数,建议位次
710,1-10,2,10
691,11-12,2,12
690,13-13,1,13
688,14-16,3,16
687,17-21,5,21
686,22-25,4,25
685,26-28,3,28
684,29-34,6,34
683,35-40,6,40
682,41-42,2,42
681,43-44,2,44
680,45-51,7,51
679,52-54,3,54
678,55-58,4,58
677,59-63,5,63
676,64-70,7,70
675,71-80,10,80
674,81-87,7,87
673,88-98,11,98
672,99-107,9,107
671,108-127,20,127
670,128-139,12,139
669,140-149,10,149
668,150-163,14,163
667,164-176,13,176
666,177-195,19,195
665,196-210,15,210
664,211-228,18,228
663,229-246,18,246
662,247-268,22,268
661,269-279,11,279
660,280-296,17,296
659,297-320,24,320
658,321-353,33,353
657,354-377,24,377
656,378-407,30,407
655,408-436,29,436
654,437-470,34,470
653,471-496,26,496
652,497-530,34,530
651,531-565,35,565
650,566-605,40,605
649,606-638,33,638
648,639-676,38,676
647,677-711,35,711
646,712-746,35,746
645,747-797,51,797
644,798-836,39,836
643,837-873,37,873
642,874-920,47,920
641,921-969,49,969
640,970-1024,55,1024
639,1025-1074,50,1074
638,1075-1126,52,1126
637,1127-1190,64,1190
636,1191-1261,71,1261
635,1262-1316,55,1316
634,1317-1380,64,1380
633,1381-1438,58,1438
632,1439-1506,68,1506
631,1507-1581,75,1581
630,1582-1662,81,1662
629,1663-1727,65,1727
628,1728-1801,74,1801
627,1802-1890,89,1890
626,1891-1968,78,1968
625,1969-2040,72,2040
624,2041-2123,83,2123
623,2124-2221,98,2221
622,2222-2292,71,2292
621,2293-2359,67,2359
620,2360-2457,98,2457
619,2458-2551,94,2551
618,2552-2652,101,2652
617,2653-2734,82,2734
616,2735-2831,97,2831
615,2832-2945,114,2945
614,2946-3042,97,3042
613,3043-3170,128,3170
612,3171-3311,141,3311
611,3312-3444,133,3444
610,3445-3548,104,3548
609,3549-3654,106,3654
608,3655-3788,134,3788
607,3789-3914,126,3914
606,3915-4057,143,4057
605,4058-4206,149,4206
604,4207-4339,133,4339
603,4340-4480,141,4480
602,4481-4618,138,4618
601,4619-4741,123,4741
600,4742-4907,166,4907
599,4908-5081,174,5081
598,5082-5259,178,5259
597,5260-5420,161,5420
596,5421-5566,146,5566
595,5567-5714,148,5714
594,5715-5873,159,5873
593,5874-6061,188,6061
592,6062-6251,190,6251
591,6252-6442,191,6442
590,6443-6629,187,6629
589,6630-6819,190,6819
588,6820-7030,211,7030
587,7031-7227,197,7227
586,7228-7426,199,7426
585,7427-7617,191,7617
584,7618-7809,192,7809
583,7810-7996,187,7996
582,7997-8208,212,8208
581,8209-8442,234,8442
580,8443-8667,225,8667
579,8668-8893,226,8893
578,8894-9124,231,9124
577,9125-9350,226,9350
576,9351-9585,235,9585
575,9586-9834,249,9834
574,9835-10065,231,10065
573,10066-10307,242,10307
572,10308-10555,248,10555
571,10556-10819,264,10819
570,10820-11096,277,11096
569,11097-11383,287,11383
568,11384-11651,268,11651
567,11652-11917,266,11917
566,11918-12189,272,12189
565,12190-12483,294,12483
564,12484-12771,288,12771
563,12772-13069,298,13069
562,13070-13369,300,13369
561,13370-13666,297,13666
560,13667-13975,309,13975
559,13976-14287,312,14287
558,14288-14591,304,14591
557,14592-14908,317,14908
556,14909-15217,309,15217
555,15218-15552,335,15552
554,15553-15866,314,15866
553,15867-16189,323,16189
552,16190-16521,332,16521
551,16522-16850,329,16850
550,16851-17175,325,17175
549,17176-17516,341,17516
548,17517-17884,368,17884
547,17885-18218,334,18218
546,18219-18623,405,18623
545,18624-18967,344,18967
544,18968-19331,364,19331
543,19332-19724,393,19724
542,19725-20108,384,20108
541,20109-20483,375,20483
540,20484-20826,343,20826
539,20827-21223,397,21223
538,21224-21646,423,21646
537,21647-22036,390,22036
536,22037-22440,404,22440
535,22441-22869,429,22869
534,22870-23274,405,23274
533,23275-23682,408,23682
532,23683-24106,424,24106
531,24107-24554,448,24554
530,24555-24979,425,24979
529,24980-25374,395,25374
528,25375-25787,413,25787
527,25788-26209,422,26209
526,26210-26685,476,26685
525,26686-27154,469,27154
524,27155-27588,434,27588
523,27589-28080,492,28080
522,28081-28526,446,28526
521,28527-28987,461,28987
520,28988-29462,475,29462
519,29463-29946,484,29946
518,29947-30418,472,30418
517,30419-30876,458,30876
516,30877-31344,468,31344
515,31345-31805,461,31805
514,31806-32331,526,32331
513,32332-32822,491,32822
512,32823-33345,523,33345
511,33346-33887,542,33887
510,33888-34388,501,34388
509,34389-34905,517,34905
508,34906-35445,540,35445
507,35446-35961,516,35961
506,35962-36546,585,36546
505,36547-37089,543,37089
504,37090-37656,567,37656
503,37657-38208,552,38208
502,38209-38741,533,38741
501,38742-39282,541,39282
500,39283-39835,553,39835
499,39836-40390,555,40390
498,40391-40980,590,40980
497,40981-41503,523,41503
496,41504-42092,589,42092
495,42093-42687,595,42687
494,42688-43271,584,43271
493,43272-43811,540,43811
492,43812-44403,592,44403
491,44404-45043,640,45043
490,45044-45619,576,45619
489,45620-46237,618,46237
488,46238-46853,616,46853
487,46854-47427,574,47427
486,47428-48031,604,48031
485,48032-48667,636,48667
484,48668-49289,622,49289
483,49290-49890,601,49890
482,49891-50514,624,50514
481,50515-51125,611,51125
480,51126-51764,639,51764
479,51765-52397,633,52397
478,52398-53014,617,53014
477,53015-53657,643,53657
476,53658-54282,625,54282
475,54283-54889,607,54889
474,54890-55519,630,55519
473,55520-56155,636,56155
472,56156-56826,671,56826
471,56827-57485,659,57485
470,57486-58160,675,58160
469,58161-58831,671,58831
468,58832-59527,696,59527
467,59528-60157,630,60157
