分数,位次区间,同分人数,建议位次
698,1-10,10,10
696,11-12,2,12
695,13-15,3,15
694,16-18,3,18
693,19-22,4,22
692,23-24,2,24
691,25-27,3,27
690,28-35,8,35
689,36-40,5,40
688,41-47,7,47
687,48-51,4,51
686,52-53,2,53
685,54-60,7,60
684,61-71,11,71
683,72-79,8,79
682,80-88,9,88
681,89-97,9,97
680,98-110,13,110
679,111-123,13,123
678,124-133,10,133
677,134-149,16,149
676,150-167,18,167
675,168-188,21,188
674,189-205,17,205
673,206-218,13,218
672,219-234,16,234
671,235-248,14,248
670,249-265,17,265
669,266-289,24,289
668,290-318,29,318
667,319-347,29,347
666,348-368,21,368
665,369-395,27,395
664,396-423,28,423
663,424-446,23,446
662,447-474,28,474
661,475-507,33,507
660,508-537,30,537
659,538-573,36,573
658,574-606,33,606
657,607-639,33,639
656,640-684,45,684
655,685-735,51,735
654,736-767,32,767
653,768-812,45,812
652,813-855,43,855
651,856-903,48,903
650,904-971,68,971
649,972-1042,71,1042
648,1043-1098,56,1098
647,1099-1149,51,1149
646,1150-1196,47,1196
645,1197-1244,48,1244
644,1245-1301,57,1301
643,1302-1365,64,1365
642,1366-1438,73,1438
641,1439-1510,72,1510
640,1511-1572,62,1572
639,1573-1622,50,1622
638,1623-1701,79,1701
637,1702-1768,67,1768
636,1769-1846,78,1846
635,1847-1920,74,1920
634,1921-2005,85,2005
633,2006-2100,95,2100
632,2101-2187,87,2187
631,2188-2266,79,2266
630,2267-2357,91,2357
629,2358-2443,86,2443
628,2444-2534,91,2534
627,2535-2648,114,2648
626,2649-2751,103,2751
625,2752-2857,106,2857
624,2858-2953,96,2953
623,2954-3039,86,3039
622,3040-3136,97,3136
621,3137-3245,109,3245
620,3246-3354,109,3354
619,3355-3494,140,3494
618,3495-3607,113,3607
617,3608-3715,108,3715
616,3716-3809,94,3809
615,3810-3931,122,3931
614,3932-4062,131,4062
613,4063-4164,102,4164
612,4165-4286,122,4286
611,4287-4436,150,4436
610,4437-4561,125,4561
609,4562-4698,137,4698
608,4699-4807,109,4807
607,4808-4942,135,4942
606,4943-5074,132,5074
605,5075-5200,126,5200
604,5201-5341,141,5341
603,5342-5500,159,5500
602,5501-5644,144,5644
601,5645-5810,166,5810
600,5811-5959,149,5959
599,5960-6112,153,6112
