分数,位次区间,同分人数,建议位次
693,1-100,100,100
692,101-112,12,112
691,113-128,16,128
690,129-151,23,151
689,152-171,20,171
688,172-187,16,187
687,188-210,23,210
686,211-233,23,233
685,234-248,15,248
684,249-272,24,272
683,273-304,32,304
682,305-325,21,325
681,326-350,25,350
680,351-388,38,388
679,389-427,39,427
678,428-461,34,461
677,462-495,34,495
676,496-544,49,544
675,545-581,37,581
674,582-619,38,619
673,620-672,53,672
672,673-725,53,725
671,726-763,38,763
670,764-810,47,810
669,811-863,53,863
668,864-908,45,908
667,909-972,64,972
666,973-1014,42,1014
665,1015-1087,73,1087
664,1088-1150,63,1150
663,1151-1215,65,1215
662,1216-1292,77,1292
661,1293-1352,60,1352
660,1353-1421,69,1421
659,1422-1485,64,1485
658,1486-1557,72,1557
657,1558-1632,75,1632
656,1633-1729,97,1729
655,1730-1808,79,1808
654,1809-1898,90,1898
653,1899-1983,85,1983
652,1984-2054,71,2054
651,2055-2149,95,2149
650,2150-2239,90,2239
649,2240-2309,70,2309
648,2310-2389,80,2389
647,2390-2484,95,2484
646,2485-2569,85,2569
645,2570-2665,96,2665
644,2666-2761,96,2761
643,2762-2853,92,2853
642,2854-2945,92,2945
641,2946-3020,75,3020
640,3021-3131,111,3131
639,3132-3244,113,3244
638,3245-3365,121,3365
637,3366-3460,95,3460
636,3461-3556,96,3556
635,3557-3664,108,3664
634,3665-3784,120,3784
633,3785-3881,97,3881
632,3882-3977,96,3977
631,3978-4074,97,4074
630,4075-4190,116,4190
629,4191-4310,120,4310
628,4311-4415,105,4415
627,4416-4540,125,4540
626,4541-4635,95,4635
625,4636-4759,124,4759
624,4760-4866,107,4866
623,4867-4983,117,4983
622,4984-5111,128,5111
621,5112-5237,126,5237
620,5238-5343,106,5343
619,5344-5479,136,5479
618,5480-5597,118,5597
617,5598-5719,122,5719
616,5720-5860,141,5860
615,5861-5971,111,5971
614,5972-6095,124,6095
613,6096-6212,117,6212
612,6213-6353,141,6353
611,6354-6500,147,6500
610,6501-6621,121,6621
609,6622-6754,133,6754
608,6755-6880,126,6880
607,6881-7025,145,7025
606,7026-7185,160,7185
605,7186-7324,139,7324
604,7325-7475,151,7475
603,7476-7612,137,7612
602,7613-7739,127,7739
601,7740-7892,153,7892
600,7893-8015,123,8015
599,8016-8145,130,8145
598,8146-8278,133,8278
597,8279-8453,175,8453
596,8454-8594,141,8594
595,8595-8752,158,8752
594,8753-8884,132,8884
593,8885-9042,158,9042
592,9043-9188,146,9188
591,9189-9357,169,9357
590,9358-9507,150,9507
589,9508-9653,146,9653
588,9654-9802,149,9802
587,9803-9963,161,9963
586,9964-10120,157,10120
585,10121-10264,144,10264
584,10265-10409,145,10409
583,10410-10555,146,10555
582,10556-10705,150,10705
581,10706-10852,147,10852
580,10853-10997,145,10997
579,10998-11162,165,11162
578,11163-11319,157,11319
577,11320-11480,161,11480
576,11481-11649,169,11649
575,11650-11822,173,11822
574,11823-11970,148,11970
573,11971-12147,177,12147
572,12148-12316,169,12316
571,12317-12454,138,12454
570,12455-12613,159,12613
569,12614-12768,155,12768
568,12769-12928,160,12928
567,12929-13092,164,13092
566,13093-13255,163,13255
565,13256-13403,148,13403
564,13404-13576,173,13576
563,13577-13744,168,13744
562,13745-13910,166,13910
561,13911-14072,162,14072
560,14073-14215,143,14215
559,14216-14389,174,14389
558,14390-14562,173,14562
557,14563-14724,162,14724
556,14725-14913,189,14913
555,14914-15087,174,15087
554,15088-15252,165,15252
553,15253-15441,189,15441
552,15442-15608,167,15608
551,15609-15758,150,15758
550,15759-15922,164,15922
549,15923-16077,155,16077
548,16078-16248,171,16248
547,16249-16414,166,16414
546,16415-16565,151,16565
545,16566-16715,150,16715
544,16716-16884,169,16884
543,16885-17073,189,17073
542,17074-17245,172,17245
541,17246-17425,180,17425
540,17426-17575,150,17575
539,17576-17770,195,17770
538,17771-17926,156,17926
537,17927-18089,163,18089
536,18090-18248,159,18248
535,18249-18426,178,18426
534,18427-18580,154,18580
533,18581-18768,188,18768
532,18769-18911,143,18911
531,18912-19062,151,19062
530,19063-19208,146,19208
529,19209-19385,177,19385
528,19386-19547,162,19547
527,19548-19742,195,19742
526,19743-19932,190,19932
525,19933-20111,179,20111
524,20112-20285,174,20285
523,20286-20438,153,20438
522,20439-20619,181,20619
521,20620-20782,163,20782
520,20783-20942,160,20942
519,20943-21115,173,21115
518,21116-21295,180,21295
517,21296-21456,161,21456
516,21457-21622,166,21622
515,21623-21793,171,21793
514,21794-21931,138,21931
513,21932-22100,169,22100
512,22101-22269,169,22269
511,22270-22423,154,22423
510,22424-22579,156,22579
509,22580-22740,161,22740
508,22741-22926,186,22926
507,22927-23094,168,23094
506,23095-23257,163,23257
505,23258-23400,143,23400
504,23401-23553,153,23553
503,23554-23698,145,23698
502,23699-23848,150,23848
501,23849-23997,149,23997
500,23998-24173,176,24173
499,24174-24338,165,24338
498,24339-24492,154,24492
497,24493-24662,170,24662
496,24663-24817,155,24817
495,24818-24984,167,24984
494,24985-25138,154,25138
493,25139-25312,174,25312
492,25313-25488,176,25488
491,25489-25630,142,25630
490,25631-25810,180,25810
489,25811-25963,153,25963
488,25964-26087,124,26087
487,26088-26241,154,26241
486,26242-26406,165,26406
485,26407-26556,150,26556
484,26557-26705,149,26705
483,26706-26847,142,26847
482,26848-27008,161,27008
481,27009-27172,164,27172
480,27173-27338,166,27338
479,27339-27496,158,27496
478,27497-27626,130,27626
477,27627-27748,122,27748
476,27749-27904,156,27904
475,27905-28048,144,28048
474,28049-28176,128,28176
473,28177-28308,132,28308
472,28309-28470,162,28470
471,28471-28627,157,28627
470,28628-28775,148,28775
469,28776-28918,143,28918
468,28919-29064,146,29064
467,29065-29210,146,29210
466,29211-29336,126,29336
465,29337-29464,128,29464
464,29465-29598,134,29598
463,29599-29738,140,29738
462,29739-29899,161,29899
461,29900-30039,140,30039
460,30040-30210,171,30210
459,30211-30352,142,30352
458,30353-30484,132,30484
457,30485-30614,130,30614
456,30615-30746,132,30746
455,30747-30888,142,30888
454,30889-31003,115,31003
453,31004-31134,131,31134
452,31135-31275,141,31275
451,31276-31399,124,31399
450,31400-31535,136,31535
449,31536-31652,117,31652
448,31653-31767,115,31767
447,31768-31901,134,31901
446,31902-32039,138,32039
445,32040-32161,122,32161
444,32162-32292,131,32292
443,32293-32412,120,32412
442,32413-32532,120,32532
441,32533-32640,108,32640
440,32641-32749,109,32749
439,32750-32877,128,32877
438,32878-32983,106,32983
437,32984-33091,108,33091
436,33092-33197,106,33197
435,33198-33296,99,33296
434,33297-33410,114,33410
433,33411-33526,116,33526
432,33527-33650,124,33650
431,33651-33758,108,33758
430,33759-33872,114,33872
429,33873-33970,98,33970
428,33971-34083,113,34083
427,34084-34193,110,34193
426,34194-34315,122,34315
425,34316-34405,90,34405
424,34406-34535,130,34535
423,34536-34636,101,34636
422,34637-34729,93,34729
421,34730-34828,99,34828
420,34829-34939,111,34939
419,34940-35029,90,35029
418,35030-35126,97,35126
417,35127-35220,94,35220
416,35221-35316,96,35316
415,35317-35402,86,35402
414,35403-35504,102,35504
413,35505-35595,91,35595
412,35596-35699,104,35699
411,35700-35793,94,35793
410,35794-35892,99,35892
409,35893-35981,89,35981
408,35982-36059,78,36059
407,36060-36133,74,36133
406,36134-36218,85,36218
405,36219-36302,84,36302
404,36303-36379,77,36379
403,36380-36467,88,36467
402,36468-36560,93,36560
401,36561-36658,98,36658
400,36659-36736,78,36736
399,36737-36817,81,36817
398,36818-36925,108,36925
397,36926-37008,83,37008
396,37009-37071,63,37071
395,37072-37150,79,37150
394,37151-37238,88,37238
393,37239-37314,76,37314
392,37315-37383,69,37383
391,37384-37454,71,37454
390,37455-37541,87,37541
380,37542-38222,681,38222
370,38223-38837,615,38837
360,38838-39424,587,39424
350,39425-39896,472,39896
340,39897-40289,393,40289
330,40290-40651,362,40651
320,40652-40957,306,40957
310,40958-41186,229,41186
300,41187-41362,176,41362
290,41363-41516,154,41516
280,41517-41634,118,41634
270,41635-41716,82,41716
260,41717-41793,77,41793
250,41794-41833,40,41833
240,41834-41872,39,41872
230,41873-41913,41,41913
220,41914-41934,21,41934
210,41935-41950,16,41950
200,41951-41967,17,41967
190,41968-41977,10,41977
180,41978-41986,9,41986
170,41987-41996,10,41996
160,41997-42003,7,42003
150,42004-42006,3,42006
140,42007-42009,3,42009
130,42010-42023,14,42023
120,42024-42031,8,42031
110,42032-42032,1,42032
100,42033-42037,5,42037
