分数,位次区间,同分人数,建议位次
669,1-101,101,101
668,102-110,9,110
667,111-117,7,117
666,118-124,7,124
665,125-134,10,134
664,135-143,9,143
663,144-159,16,159
662,160-166,7,166
661,167-171,5,171
660,172-183,12,183
659,184-190,7,190
658,191-199,9,199
657,200-212,13,212
656,213-221,9,221
655,222-241,20,241
654,242-256,15,256
653,257-275,19,275
652,276-295,20,295
651,296-312,17,312
650,313-327,15,327
649,328-337,10,337
648,338-355,18,355
647,356-378,23,378
646,379-410,32,410
645,411-430,20,430
644,431-451,21,451
643,452-476,25,476
642,477-497,21,497
641,498-523,26,523
640,524-547,24,547
639,548-581,34,581
638,582-608,27,608
637,609-641,33,641
636,642-672,31,672
635,673-703,31,703
634,704-732,29,732
633,733-762,30,762
632,763-795,33,795
631,796-831,36,831
630,832-864,33,864
629,865-896,32,896
628,897-927,31,927
627,928-967,40,967
626,968-1013,46,1013
625,1014-1052,39,1052
624,1053-1087,35,1087
623,1088-1129,42,1129
622,1130-1168,39,1168
621,1169-1210,42,1210
620,1211-1246,36,1246
619,1247-1279,33,1279
618,1280-1319,40,1319
617,1320-1371,52,1371
616,1372-1413,42,1413
615,1414-1445,32,1445
614,1446-1501,56,1501
613,1502-1541,40,1541
612,1542-1597,56,1597
611,1598-1655,58,1655
610,1656-1703,48,1703
609,1704-1765,62,1765
608,1766-1823,58,1823
607,1824-1862,39,1862
606,1863-1912,50,1912
605,1913-1963,51,1963
604,1964-2028,65,2028
603,2029-2077,49,2077
602,2078-2131,54,2131
601,2132-2190,59,2190
600,2191-2265,75,2265
599,2266-2325,60,2325
598,2326-2369,44,2369
597,2370-2438,69,2438
596,2439-2505,67,2505
595,2506-2580,75,2580
594,2581-2635,55,2635
593,2636-2697,62,2697
592,2698-2759,62,2759
591,2760-2823,64,2823
590,2824-2910,87,2910
589,2911-3003,93,3003
588,3004-3073,70,3073
587,3074-3153,80,3153
586,3154-3236,83,3236
585,3237-3319,83,3319
584,3320-3413,94,3413
583,3414-3496,83,3496
582,3497-3581,85,3581
581,3582-3657,76,3657
580,3658-3764,107,3764
579,3765-3843,79,3843
578,3844-3940,97,3940
577,3941-4026,86,4026
576,4027-4109,83,4109
575,4110-4209,100,4209
574,4210-4299,90,4299
