分数,位次区间,同分人数,建议位次
693,1-10,10,10
692,11-11,1,11
691,12-17,6,17
690,18-22,5,22
689,23-25,3,25
688,26-30,5,30
687,31-34,4,34
686,35-40,6,40
685,41-46,6,46
684,47-50,4,50
683,51-56,6,56
682,57-72,16,72
681,73-83,11,83
680,84-95,12,95
679,96-103,8,103
678,104-119,16,119
677,120-141,22,141
676,142-153,12,153
675,154-173,20,173
674,174-191,18,191
673,192-216,25,216
672,217-231,15,231
671,232-248,17,248
670,249-268,20,268
669,269-302,34,302
668,303-327,25,327
667,328-358,31,358
666,359-408,50,408
665,409-445,37,445
664,446-494,49,494
663,495-526,32,526
662,527-569,43,569
661,570-612,43,612
660,613-655,43,655
659,656-689,34,689
658,690-726,37,726
657,727-777,51,777
656,778-833,56,833
655,834-889,56,889
654,890-951,62,951
653,952-1012,61,1012
652,1013-1079,67,1079
651,1080-1153,74,1153
650,1154-1242,89,1242
649,1243-1311,69,1311
648,1312-1392,81,1392
647,1393-1485,93,1485
646,1486-1578,93,1578
645,1579-1685,107,1685
644,1686-1793,108,1793
643,1794-1897,104,1897
642,1898-1986,89,1986
641,1987-2110,124,2110
640,2111-2217,107,2217
639,2218-2318,101,2318
638,2319-2429,111,2429
637,2430-2562,133,2562
636,2563-2677,115,2677
635,2678-2791,114,2791
634,2792-2918,127,2918
633,2919-3047,129,3047
632,3048-3171,124,3171
631,3172-3306,135,3306
630,3307-3452,146,3452
629,3453-3603,151,3603
628,3604-3754,151,3754
627,3755-3926,172,3926
626,3927-4070,144,4070
625,4071-4236,166,4236
624,4237-4379,143,4379
623,4380-4550,171,4550
622,4551-4721,171,4721
621,4722-4903,182,4903
620,4904-5074,171,5074
619,5075-5279,205,5279
618,5280-5487,208,5487
617,5488-5663,176,5663
616,5664-5859,196,5859
615,5860-6032,173,6032
614,6033-6223,191,6223
613,6224-6436,213,6436
612,6437-6652,216,6652
611,6653-6855,203,6855
610,6856-7084,229,7084
609,7085-7304,220,7304
608,7305-7551,247,7551
607,7552-7784,233,7784
606,7785-8021,237,8021
605,8022-8257,236,8257
604,8258-8503,246,8503
603,8504-8737,234,8737
602,8738-8969,232,8969
601,8970-9174,205,9174
600,9175-9412,238,9412
599,9413-9671,259,9671
598,9672-9934,263,9934
597,9935-10190,256,10190
596,10191-10465,275,10465
595,10466-10740,275,10740
594,10741-11008,268,11008
593,11009-11272,264,11272
592,11273-11542,270,11542
591,11543-11816,274,11816
590,11817-12099,283,12099
589,12100-12367,268,12367
588,12368-12651,284,12651
587,12652-12913,262,12913
586,12914-13211,298,13211
585,13212-13534,323,13534
584,13535-13818,284,13818
583,13819-14103,285,14103
582,14104-14371,268,14371
581,14372-14694,323,14694
580,14695-14997,303,14997
579,14998-15284,287,15284
578,15285-15615,331,15615
577,15616-15912,297,15912
576,15913-16211,299,16211
575,16212-16539,328,16539
574,16540-16836,297,16836
573,16837-17169,333,17169
572,17170-17513,344,17513
571,17514-17845,332,17845
570,17846-18191,346,18191
569,18192-18539,348,18539
568,18540-18862,323,18862
567,18863-19165,303,19165
566,19166-19472,307,19472
565,19473-19817,345,19817
564,19818-20167,350,20167
563,20168-20553,386,20553
562,20554-20899,346,20899
561,20900-21240,341,21240
560,21241-21589,349,21589
559,21590-21949,360,21949
558,21950-22296,347,22296
557,22297-22662,366,22662
556,22663-23017,355,23017
555,23018-23368,351,23368
554,23369-23728,360,23728
553,23729-24074,346,24074
552,24075-24424,350,24424
551,24425-24807,383,24807
550,24808-25159,352,25159
549,25160-25526,367,25526
548,25527-25878,352,25878
547,25879-26229,351,26229
546,26230-26610,381,26610
545,26611-26980,370,26980
544,26981-27361,381,27361
543,27362-27772,411,27772
542,27773-28154,382,28154
541,28155-28513,359,28513
540,28514-28908,395,28908
539,28909-29276,368,29276
538,29277-29664,388,29664
537,29665-30033,369,30033
536,30034-30426,393,30426
535,30427-30803,377,30803
534,30804-31209,406,31209
533,31210-31627,418,31627
532,31628-32018,391,32018
531,32019-32424,406,32424
530,32425-32834,410,32834
529,32835-33224,390,33224
528,33225-33609,385,33609
527,33610-34030,421,34030
526,34031-34438,408,34438
525,34439-34845,407,34845
524,34846-35249,404,35249
523,35250-35650,401,35650
522,35651-36061,411,36061
521,36062-36486,425,36486
520,36487-36918,432,36918
